,id,number_of_seasons,number_of_episodes,vote_count,vote_average,popularity,episode_run_time
558,118956,3,24,368,7.904,28.842,25
559,88989,2,11,366,7.191,20.563,0
560,96608,1,8,365,7.299,19.569,50
561,72597,2,18,364,7.636,21.475,42
562,111119,1,15,364,7.6,6.679,60
563,92592,1,12,363,8.351,15.844,23
564,123566,2,15,363,8.6,34.869,8
565,64387,3,37,362,7.1,25.741,30
566,67166,5,43,362,8.135,25.342,60
567,72296,1,10,361,8.478,22.743,24
568,66185,3,15,358,7.468,10.629,0
569,83103,1,12,358,8.337,23.51,24
570,72339,2,18,355,7.376,16.707,42
571,113962,1,8,351,8.348,322.746,0
572,103086,1,69,350,7.497,64.037,0
573,70513,2,26,350,6.5,29.41,45
574,60930,2,60,349,7.7,62.784,130
575,92137,1,8,348,7.763,16.413,55
576,109470,1,91,347,7.5,58.658,50
577,73944,1,18,346,7.912,18.247,75
578,65931,1,60,345,8.438,84.906,24
579,85273,2,20,345,7.383,13.754,43
580,18712,1,6,341,7.194,7.07,42
581,97441,1,8,340,7.156,10.541,30
582,93808,1,6,337,7.047,15.625,47
583,105797,1,10,337,8.2,18.837,24
584,123876,1,24,337,8.433,43.573,24
585,111838,1,8,336,6.747,18.355,30
586,135934,2,24,336,8.272,74.996,27
587,124124,1,92,336,7.33,120.459,45
588,95171,2,10,336,8.4,41.507,42
589,84469,1,10,336,6.647,17.583,0
590,75865,3,36,334,8.2,30.439,24
591,154385,1,10,334,7.8,25.141,0
592,77696,7,165,332,8.521,14.846,30
593,95259,1,10,332,7.819,19.359,42
594,62565,1,24,331,8.532,16.443,24
595,66840,6,125,331,7.076,49.859,43
596,71809,1,10,331,7.745,20.362,51
597,99935,1,6,331,7.459,10.893,40
598,99121,3,56,329,7.1,34.036,45
599,110529,2,12,329,7.125,14.127,36
600,93784,1,8,328,7.0,13.265,50
601,84380,1,16,327,7.4,73.445,55
602,69346,2,13,326,8.423,27.355,24
603,72705,3,57,325,7.608,313.807,21
604,66078,1,50,323,8.506,25.016,24
605,103847,3,34,323,8.2,7.239,25
